[17:04:07] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[17:04:09] [ServerMain/INFO]: Loaded 7 recipes
[17:04:09] [ServerMain/INFO]: Loaded 1271 advancements
[17:04:09] [Server thread/INFO]: Starting minecraft server version 1.20.1
[17:04:09] [Server thread/INFO]: Loading properties
[17:04:09] [Server thread/INFO]: Default game type: CREATIVE
[17:04:09] [Server thread/INFO]: Generating keypair
[17:04:10] [Server thread/INFO]: Starting Minecraft server on *:25565
[17:04:10] [Server thread/INFO]: Using epoll channel type
[17:04:10] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[17:04:10] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[17:04:10] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[17:04:10] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[17:04:10] [Server thread/INFO]: Preparing level "world"
[17:04:15] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[17:04:15] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[17:04:15] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[17:04:16] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:04:16] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:04:17] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:04:17] [Worker-Main-5/INFO]: Preparing spawn area: 1%
[17:04:18] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[17:04:18] [Worker-Main-1/INFO]: Preparing spawn area: 3%
[17:04:19] [Worker-Main-4/INFO]: Preparing spawn area: 4%
[17:04:19] [Worker-Main-5/INFO]: Preparing spawn area: 5%
[17:04:20] [Worker-Main-5/INFO]: Preparing spawn area: 6%
[17:04:20] [Worker-Main-2/INFO]: Preparing spawn area: 8%
[17:04:21] [Worker-Main-1/INFO]: Preparing spawn area: 10%
[17:04:21] [Worker-Main-3/INFO]: Preparing spawn area: 12%
[17:04:22] [Worker-Main-3/INFO]: Preparing spawn area: 13%
[17:04:22] [Worker-Main-5/INFO]: Preparing spawn area: 14%
[17:04:23] [Worker-Main-5/INFO]: Preparing spawn area: 16%
[17:04:23] [Worker-Main-3/INFO]: Preparing spawn area: 19%
[17:04:24] [Worker-Main-5/INFO]: Preparing spawn area: 21%
[17:04:24] [Worker-Main-2/INFO]: Preparing spawn area: 23%
[17:04:25] [Worker-Main-5/INFO]: Preparing spawn area: 24%
[17:04:25] [Worker-Main-1/INFO]: Preparing spawn area: 27%
[17:04:26] [Worker-Main-1/INFO]: Preparing spawn area: 30%
[17:04:26] [Worker-Main-5/INFO]: Preparing spawn area: 32%
[17:04:27] [Worker-Main-4/INFO]: Preparing spawn area: 35%
[17:04:27] [Worker-Main-4/INFO]: Preparing spawn area: 36%
[17:04:28] [Worker-Main-3/INFO]: Preparing spawn area: 40%
[17:04:28] [Worker-Main-2/INFO]: Preparing spawn area: 43%
[17:04:29] [Worker-Main-1/INFO]: Preparing spawn area: 45%
[17:04:29] [Worker-Main-3/INFO]: Preparing spawn area: 48%
[17:04:30] [Worker-Main-1/INFO]: Preparing spawn area: 51%
[17:04:30] [Worker-Main-1/INFO]: Preparing spawn area: 54%
[17:04:31] [Worker-Main-5/INFO]: Preparing spawn area: 57%
[17:04:31] [Worker-Main-2/INFO]: Preparing spawn area: 59%
[17:04:32] [Worker-Main-5/INFO]: Preparing spawn area: 62%
[17:04:32] [Worker-Main-4/INFO]: Preparing spawn area: 65%
[17:04:33] [Worker-Main-3/INFO]: Preparing spawn area: 68%
[17:04:33] [Worker-Main-3/INFO]: Preparing spawn area: 70%
[17:04:34] [Worker-Main-1/INFO]: Preparing spawn area: 73%
[17:04:34] [Worker-Main-4/INFO]: Preparing spawn area: 76%
[17:04:35] [Worker-Main-3/INFO]: Preparing spawn area: 79%
[17:04:35] [Worker-Main-3/INFO]: Preparing spawn area: 83%
[17:04:36] [Worker-Main-3/INFO]: Preparing spawn area: 84%
[17:04:36] [Worker-Main-1/INFO]: Preparing spawn area: 88%
[17:04:37] [Worker-Main-1/INFO]: Preparing spawn area: 90%
[17:04:37] [Worker-Main-4/INFO]: Preparing spawn area: 94%
[17:04:38] [Worker-Main-3/INFO]: Preparing spawn area: 97%
[17:04:38] [Server thread/INFO]: Time elapsed: 23310 ms
[17:04:38] [Server thread/INFO]: Done (28.157s)! For help, type "help"
[17:04:38] [Server thread/INFO]: jorge[/[0:0:0:0:0:0:0:1%0]:42326] logged in with entity id 111 at (5.5, 105.0, 3.5)
[17:04:38] [Server thread/INFO]: jorge joined the game
